%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=208119, 2023/05/29 16:1:7.22)
84 1345 9.450684e-02 1.283786e+00  1.212131000000000000e+06  1.562259000000000000e+06  2.154161000000000000e+06  2.358641000000000000e+06
85 1361 9.373309e-02 1.287824e+00  1.212131000000000000e+06  1.813282000000000000e+06  2.145911500000000000e+06  2.388418000000000000e+06
86 1377 9.255480e-02 1.289545e+00  1.212131000000000000e+06  1.897156000000000000e+06  2.180596000000000000e+06  2.335659000000000000e+06
87 1393 9.270066e-02 1.292088e+00  1.212131000000000000e+06  1.706271000000000000e+06  2.110519500000000000e+06  2.307126000000000000e+06
88 1409 9.303004e-02 1.295399e+00  1.212131000000000000e+06  1.790507000000000000e+06  2.084859000000000000e+06  2.289182000000000000e+06
89 1425 9.340951e-02 1.300126e+00  1.212131000000000000e+06  1.592803000000000000e+06  2.198123000000000000e+06  2.480591000000000000e+06
90 1441 9.415587e-02 1.305059e+00  1.066191000000000000e+06  1.066191000000000000e+06  2.123214000000000000e+06  2.426618000000000000e+06
91 1457 9.507856e-02 1.308918e+00  1.066191000000000000e+06  1.668382000000000000e+06  2.122176500000000000e+06  2.433973000000000000e+06
92 1473 9.579475e-02 1.311295e+00  1.066191000000000000e+06  1.663916000000000000e+06  2.088957500000000000e+06  2.543730000000000000e+06
93 1489 9.587246e-02 1.315189e+00  1.066191000000000000e+06  1.223398000000000000e+06  2.185147500000000000e+06  2.385832000000000000e+06
94 1505 9.580483e-02 1.318993e+00  1.066191000000000000e+06  1.879233000000000000e+06  2.203710000000000000e+06  2.314836000000000000e+06
95 1521 9.582114e-02 1.326299e+00  1.066191000000000000e+06  1.852722000000000000e+06  2.110915000000000000e+06  2.419180000000000000e+06
96 1537 9.631013e-02 1.332314e+00  1.066191000000000000e+06  1.495358000000000000e+06  2.082363500000000000e+06  2.311277000000000000e+06
97 1553 9.582902e-02 1.336687e+00  1.066191000000000000e+06  1.751221000000000000e+06  2.149480000000000000e+06  2.373360000000000000e+06
98 1569 9.469599e-02 1.339532e+00  1.066191000000000000e+06  1.208158000000000000e+06  2.072104000000000000e+06  2.411281000000000000e+06
99 1585 9.375634e-02 1.342306e+00  1.066191000000000000e+06  1.692290000000000000e+06  2.092177500000000000e+06  2.377640000000000000e+06
100 1601 9.265221e-02 1.346545e+00  1.066191000000000000e+06  1.426006000000000000e+06  2.103655500000000000e+06  2.404638000000000000e+06
101 1617 9.155252e-02 1.352706e+00  1.066191000000000000e+06  1.525125000000000000e+06  2.086108000000000000e+06  2.294547000000000000e+06
102 1633 9.069183e-02 1.357649e+00  1.066191000000000000e+06  1.539488000000000000e+06  2.184948500000000000e+06  2.474547000000000000e+06
103 1649 8.949754e-02 1.363082e+00  1.066191000000000000e+06  1.766375000000000000e+06  2.075450500000000000e+06  2.324254000000000000e+06
104 1665 8.802108e-02 1.365958e+00  1.066191000000000000e+06  1.661306000000000000e+06  2.173921000000000000e+06  2.356298000000000000e+06
105 1681 8.675880e-02 1.367459e+00  1.066191000000000000e+06  1.795429000000000000e+06  2.191093500000000000e+06  2.443675000000000000e+06
